day,S,L,A,R
87,9457.235473856255,451.0555631856445,35.85053570514932,55.858427252951415
88,9448.759299905569,457.98967770581726,36.3170790645093,56.9339433241059
89,9440.180516441664,465.0068498435127,36.78917801878322,58.023455696041175
90,9431.498104402943,472.10789596651904,37.26686859393391,59.12713103660467
91,9422.711044390424,479.2936322395795,37.75018627557351,60.24513709442269
92,9413.818316961759,486.56487437460186,38.239165980949956,61.377642682689896
93,9404.818902933339,493.92243737413423,38.73384203040924,62.524817662118394
94,9395.711783690569,501.3671352680648,39.23424811833704,63.68683292303067
95,9386.495941506326,508.8997808435101,39.740417283584144,64.86386036658078
96,9377.170359867672,516.5211853678593,40.252381879380714,66.0560728850883
97,9367.734023810837,524.2321583049484,40.770173542745276,67.26364434146971
98,9358.185920264512,532.0335070243426,41.29382316339482,68.48674954775207
99,9348.525038401473,539.9260365037114,41.82336085216348,69.72556424265392
100,9338.75036999856,547.910549024286,42.35881590893787,70.98026506821883
101,9328.860909805002,555.9878438593952,42.90021679011791,72.25102954548696
102,9318.855655919115,564.1587169560838,43.4475910756131,73.5380360491905
103,9308.733610173338,572.4239606098198,44.00096543538474,74.84146378145888
104,9298.493778527627,580.7843631323083,44.56036559554575,76.16149274452043
105,9288.135171471149,589.2407085124348,45.12581630403038,77.4983037123868
106,9277.65680443228,597.7937760703671,45.69734129584747,78.85207820150771
107,9267.057698196832,606.444340104855,46.27496325793134,80.22299844038314
108,9256.336879334502,615.1931695337723,46.85870379360577,81.61124733812107
109,9245.493380633437,624.0410275279565,47.44858338667748,83.01700845192924
110,9234.526241542888,632.9886711384064,48.04462136517628,84.44046595352957
111,9223.434508623845,642.0368509169098,48.64683586476046,85.88180459448486
112,9212.217236007586,651.1863105301804,49.25524379180676,87.34120967042767
113,9200.87348586202,660.4377863675934,49.869860786205564,88.81886698418188
114,9189.402328865734,669.7920071426157,50.49070118388281,90.31496280776804
115,9177.802844689602,679.2496934880414,51.117777979071526,91.82968384328453
116,9166.07412248584,688.8115575451475,51.751102786356704,93.36321718265667
117,9154.215261384335,698.4783025468981,52.39068580251857,94.91575026624737
118,9142.22537099614,708.2506223953359,53.03653576820043,96.48747084032293
119,9130.103571923895,718.1292012333066,53.68865992942832,98.07856691336895
120,9117.848996279059,728.1147130106781,54.347063999011006,99.68922671125179
121,9105.460788205706,738.2078210452213,55.011752117849944,101.31963863122212
122,9092.938104410718,748.4091775783352,55.682726816189984,102.96999119475761
123,9080.280114700106,758.7194233258073,56.359988974842885,104.64047299924331
124,9067.486002521282,769.1391870238126,57.04353778641677,106.3312726684886
125,9054.554965510966,779.6690849703667,57.73337071658591,108.0425788020811
126,9041.486216048528,790.3097205624574,58.42948346543636,109.77457992357867
127,9028.27898181444,801.061683829096,59.13186992892417,111.52746442754176
128,9014.932506353573,811.9255509605357,59.84052216048399,113.30142052540948
129,9001.44604964303,822.9018838339209,60.555430332827235,115.096636190224
130,8987.818888664182,833.9912295356402,61.27658269996975,116.91329910020882
131,8974.050317978592,845.1941198806699,62.00396555953047,118.7515965812079
132,8960.139650307456,856.511070929207,62.73756321534335,120.61171554799382
133,8946.08621711422,867.9425825009006,63.47735794042608,122.49384244445413
134,8931.889369189978,879.4891376870056,64.2233299403501,124.39816318266692
135,8917.548477241273,891.1512023607925,64.97545731705753,126.32486308087742
136,8903.062932479877,902.9292246865614,65.73371603317148,128.27412680038915
137,8888.432147214151,914.8236346276176,66.49807987684734,130.2461382813843
138,8873.655555441517,926.8348434535804,67.26852042721369,132.24108067768972
139,8858.732613441636,938.9632432474078,68.0450070204517,134.25913629050612
140,8843.662800369788,951.2092064125306,68.82750671656387,136.30048650111968
141,8828.44561885,963.5730851805021,69.61598426688252,138.3653117026166
142,8813.080595567428,976.0552111195802,70.4104020823702,140.45379123062307
143,8797.567281859472,988.6558946446711,71.21072020276424,142.5661032930942
144,8781.905254305135,1001.375424529071,72.01689626661869,144.70242489917712
145,8766.094115312071,1014.2140674184582,72.8288854822972,146.86293178717568
146,8750.133493700794,1027.1720673475932,73.646640599971,149.0477983516446
147,8734.023045285485,1040.249645260197,74.47011188467673,151.25719756964372
148,8717.762453450841,1053.4469985324881,75.29924709048912,153.491300926184
149,8701.351429724376,1066.7643005008636,76.13399143586362,155.75027833889868
150,8684.7897143436,1080.2016999942234,76.97428758020477,158.03429808197458
151,8668.077076817463,1093.7593208714436,77.82007560171576,160.34352670938074
152,8651.213316481477,1107.4372615645086,78.67129297658504,162.6781289774322
153,8634.19826304588,1121.2355946278267,79.52787455956562,165.03826776672975
154,8617.031777136232,1135.154366294251,80.38975256600258,167.4241040035167
155,8599.713750825798,1149.1935960383435,81.25685655536418,169.83579658049678
156,8582.244108159097,1163.3532761474164,82.12911341633142,172.2735022771577
157,8564.622805665957,1177.6333713008978,83.00644735350109,174.73737567964764
158,8546.84983286543,1192.0338181585657,83.88877987575574,177.22756910025268
159,8528.92521275892,1206.554524958204,84.77602978635466,179.74423249652534
160,8510.84900231186,1221.1953711232309,85.6681131747981,182.28751339011598
161,8492.621292923268,1235.95620688086,86.56494341051686,184.85755678535992
